Time,CMIP7 v2.2.1
1883.291667,-0.0251083
1883.375,-0.0233134
1883.458333,-0.0223309
1883.541667,-0.0219193
1883.625,-0.0220197
1883.708333,-0.345782
1883.791667,-0.814392
1883.875,-1.21505
1883.958333,-1.54837
1884.041667,-1.82612
1884.125,-2.05176
1884.208333,-2.23025
1884.291667,-2.36547
1884.375,-2.46014
1884.458333,-2.51817
1884.541667,-2.54351
1884.625,-2.54034
1884.708333,-2.5119
1884.791667,-2.46268
1884.875,-2.39396
1884.958333,-2.3108
1885.041667,-2.21718
1885.125,-2.11483
1885.208333,-2.00778
1885.291667,-1.89861
1885.375,-1.78816
1885.458333,-1.67812
1885.541667,-1.56957
1885.625,-1.46358
1885.708333,-1.36015
1885.791667,-1.26059
1885.875,-1.16283
1885.958333,-1.1612
1886.041667,-1.25953
1886.125,-1.50285
1886.208333,-1.62437
1886.291667,-1.66501
1886.375,-1.65071
1886.458333,-1.62386
1886.541667,-1.64517
1886.625,-1.61858
1886.708333,-1.56757
1886.791667,-1.49126
1886.875,-1.39362
1886.958333,-1.28689
1887.041667,-1.17777
1887.125,-1.06898
1887.208333,-0.96475
1887.291667,-0.867312
1887.375,-0.776581
1887.458333,-0.693352
1887.541667,-0.617538
1887.625,-0.549091
1887.708333,-0.486921
1887.791667,-0.431256
1887.875,-0.379039
1887.958333,-0.331845
1888.041667,-0.290215
1888.125,-0.252561
1888.208333,-0.220114
1888.291667,-0.193322
1888.375,-0.170687
1888.458333,-0.151381
1888.541667,-0.136932
1888.625,-0.13775
1888.708333,-0.124432
1888.791667,-0.112022
1888.875,-0.0984417
1888.958333,-0.0856589
1889.041667,-0.0746245
1889.125,-0.0640925
1889.208333,-0.0556395
1889.291667,-0.0495464
1889.375,-0.0446926
1889.458333,-0.0410726
1889.541667,-0.0383829
1889.625,-0.0365194
1889.708333,-0.034538
1889.791667,-0.0819802
1889.875,-0.145865
1889.958333,-0.17178
1890.041667,-0.176917
1890.125,-0.169779
1890.208333,-0.229317
1890.291667,-0.260087
1890.375,-0.270073
1890.458333,-0.268534
1890.541667,-0.26042
1890.625,-0.248663
1890.708333,-0.23418
1890.791667,-0.218729
1890.875,-0.200833
1890.958333,-0.1828
1891.041667,-0.165702
1891.125,-0.148639
1891.208333,-0.133457
1891.291667,-0.120658
1891.375,-0.109251
1891.458333,-0.0993594
1891.541667,-0.0907474
1891.625,-0.0833611
1891.708333,-0.0762793
1891.791667,-0.070096
1891.875,-0.0621149
1891.958333,-0.0542688
1892.041667,-0.0475477
1892.125,-0.0407478
1892.208333,-0.0355238
1892.291667,-0.0971695
1892.375,-0.181895
1892.458333,-0.223444
1892.541667,-0.237632
1892.625,-0.234922
1892.708333,-0.222113
1892.791667,-0.205106
1892.875,-0.184271
1892.958333,-0.162928
1893.041667,-0.143044
1893.125,-0.12398
1893.208333,-0.107634
1893.291667,-0.0944303
1893.375,-0.0832358
1893.458333,-0.0740827
1893.541667,-0.0666042
1893.625,-0.0606172
1893.708333,-0.0551039
1893.791667,-0.0594336
1893.875,-0.0602555
1893.958333,-0.0538955
1894.041667,-0.0473446
1894.125,-0.0404159
1894.208333,-0.0350073
1894.291667,-0.0315458
1894.375,-0.0289936
1894.458333,-0.0273893
1894.541667,-0.0264717
1894.625,-0.0261714
1894.708333,-0.0255572
1894.791667,-0.0252567
1894.875,-0.0225648
1894.958333,-0.0935653
1895.041667,-0.20487
1895.125,-0.279865
1895.208333,-0.328417
1895.291667,-0.35872
1895.375,-0.374953
1895.458333,-0.380763
1895.541667,-0.378568
1895.625,-0.370357
1895.708333,-0.356876
1895.791667,-0.34014
1895.875,-0.318611
1895.958333,-0.295176
1896.041667,-0.271635
1896.125,-0.247448
1896.208333,-0.224781
1896.291667,-0.204416
1896.375,-0.18623
1896.458333,-0.1697
1896.541667,-0.15469
1896.625,-0.141227
1896.708333,-0.128431
1896.791667,-0.116929
1896.875,-0.104008
1896.958333,-0.0916224
1897.041667,-0.0807695
1897.125,-0.0702154
1897.208333,-0.0616185
1897.291667,-0.0553123
1897.375,-0.0501885
1897.458333,-0.0462672
1897.541667,-0.055216
1897.625,-0.0571277
1897.708333,-0.0553396
1897.791667,-0.0530819
1897.875,-0.0482422
1897.958333,-0.0429692
1898.041667,-0.038377
1898.125,-0.0333138
1898.208333,-0.0295309
1898.291667,-0.0274363
1898.375,-0.0259996
1898.458333,-0.0252933
1898.541667,-0.025095
1898.625,-0.0253638
1898.708333,-0.0251882
1898.791667,-0.0252294
1898.875,-0.0227748
1898.958333,-0.0198532
1899.041667,-0.017522
1899.125,-0.0146063
1899.208333,-0.0128337
1899.291667,-0.0126019
1899.375,-0.0128809
1899.458333,-0.0137373
1899.541667,-0.0149538
1899.625,-0.0164927
1899.708333,-0.0174506
1899.791667,-0.0185016
1899.875,-0.0186203
1899.958333,-0.0274545
1900.041667,-0.028989
1900.125,-0.0273846
1900.208333,-0.0259851
1900.291667,-0.0256877
1900.375,-0.0256309
1900.458333,-0.0259624
1900.541667,-0.026526
1900.625,-0.0273282
1900.708333,-0.0274988
1900.791667,-0.0277447
1900.875,-0.0253759
1900.958333,-0.0224547
1901.041667,-0.0200678
1901.125,-0.0170512
1901.208333,-0.015157
1901.291667,-0.0147958
1901.375,-0.0149392
1901.458333,-0.0156604
1901.541667,-0.0167455
1901.625,-0.0181598
1901.708333,-0.0189964
1901.791667,-0.0199345
1901.875,-0.0182461
1901.958333,-0.0159936
1902.041667,-0.014249
1902.125,-0.0118408
1902.208333,-0.0105157
1902.291667,-0.0106834
1902.375,-0.0243354
1902.458333,-0.0417282
1902.541667,-0.0467627
1902.625,-0.0486727
1902.708333,-0.0488174
1902.791667,-0.0485048
1902.875,-0.136923
1902.958333,-0.228812
1903.041667,-0.296471
1903.125,-0.342349
1903.208333,-0.3727
1903.291667,-0.391324
1903.375,-0.399757
1903.458333,-0.414169
1903.541667,-0.411179
1903.625,-0.399259
1903.708333,-0.382166
1903.791667,-0.36229
1903.875,-0.338041
1903.958333,-0.312309
1904.041667,-0.286837
1904.125,-0.261005
1904.208333,-0.236971
1904.291667,-0.215441
1904.375,-0.195988
1904.458333,-0.178666
1904.541667,-0.162964
1904.625,-0.154315
1904.708333,-0.150223
1904.791667,-0.139985
1904.875,-0.126491
1904.958333,-0.112999
1905.041667,-0.100843
1905.125,-0.0888704
1905.208333,-0.0788389
1905.291667,-0.0711376
1905.375,-0.0646622
1905.458333,-0.059462
1905.541667,-0.0552613
1905.625,-0.0519834
1905.708333,-0.048661
1905.791667,-0.0459226
1905.875,-0.0409708
1905.958333,-0.0358359
1906.041667,-0.0315671
1906.125,-0.0269337
1906.208333,-0.0236753
1906.291667,-0.0293777
1906.375,-0.0368016
1906.458333,-0.037155
1906.541667,-0.0363217
1906.625,-0.0355705
1906.708333,-0.0343239
1906.791667,-0.0333624
1906.875,-0.0299546
1906.958333,-0.0261797
1907.041667,-0.0231105
1907.125,-0.0195379
1907.208333,-0.0172205
1907.291667,-0.180706
1907.375,-0.372761
1907.458333,-0.507394
1907.541667,-0.594323
1907.625,-0.643235
1907.708333,-0.66188
1907.791667,-0.658331
1907.875,-0.636214
1907.958333,-0.602583
1908.041667,-0.562579
1908.125,-0.518121
1908.208333,-0.473324
1908.291667,-0.430319
1908.375,-0.389022
1908.458333,-0.350477
1908.541667,-0.314875
1908.625,-0.28244
1908.708333,-0.252369
1908.791667,-0.225275
1908.875,-0.199023
1908.958333,-0.175026
1909.041667,-0.153849
1909.125,-0.134134
1909.208333,-0.117483
1909.291667,-0.104143
1909.375,-0.092843
1909.458333,-0.083552
1909.541667,-0.0758801
1909.625,-0.0696589
1909.708333,-0.0638388
1909.791667,-0.0589812
1909.875,-0.0522024
1909.958333,-0.0455067
1910.041667,-0.0399098
1910.125,-0.0341348
1910.208333,-0.0299124
1910.291667,-0.0276016
1910.375,-0.0260923
1910.458333,-0.0254268
1910.541667,-0.0253452
1910.625,-0.0257823
1910.708333,-0.0257821
1910.791667,-0.0260148
1910.875,-0.0236674
1910.958333,-0.0208327
1911.041667,-0.0278212
1911.125,-0.031224
1911.208333,-0.0305839
1911.291667,-0.0302084
1911.375,-0.0299084
1911.458333,-0.0299845
1911.541667,-0.0303104
1911.625,-0.0309025
1911.708333,-0.0308676
1911.791667,-0.0309353
1911.875,-0.0283362
1911.958333,-0.0251934
1912.041667,-0.022626
1912.125,-0.0194306
1912.208333,-0.017411
1912.291667,-0.0169869
1912.375,-0.0170956
1912.458333,-0.220277
1912.541667,-0.816111
1912.625,-1.20051
1912.708333,-1.42313
1912.791667,-1.52646
1912.875,-1.54232
1912.958333,-1.49976
1913.041667,-1.42021
1913.125,-1.32983
1913.208333,-1.22109
1913.291667,-1.1071
1913.375,-0.993953
1913.458333,-0.886185
1913.541667,-0.785724
1913.625,-0.693727
1913.708333,-0.609703
1913.791667,-0.534195
1913.875,-0.464032
1913.958333,-0.401211
1914.041667,-0.349086
1914.125,-0.312744
1914.208333,-0.272321
1914.291667,-0.236438
1914.375,-0.205393
1914.458333,-0.179843
1914.541667,-0.158121
1914.625,-0.139829
1914.708333,-0.12368
1914.791667,-0.109993
1914.875,-0.0956492
1914.958333,-0.0825072
1915.041667,-0.0714253
1915.125,-0.0609747
1915.208333,-0.0527914
1915.291667,-0.0471364
1915.375,-0.0427854
1915.458333,-0.0397235
1915.541667,-0.0376184
1915.625,-0.0363506
1915.708333,-0.0349057
1915.791667,-0.0339184
1915.875,-0.030505
1915.958333,-0.0267557
1916.041667,-0.0237482
1916.125,-0.0202291
1916.208333,-0.0179901
1916.291667,-0.0174314
1916.375,-0.0174617
1916.458333,-0.0181439
1916.541667,-0.0192415
1916.625,-0.0207082
1916.708333,-0.0215928
1916.791667,-0.0225957
1916.875,-0.0208711
1916.958333,-0.0185644
1917.041667,-0.0167882
1917.125,-0.0143217
1917.208333,-0.0129818
1917.291667,-0.0188983
1917.375,-0.0286282
1917.458333,-0.0315077
1917.541667,-0.0329003
1917.625,-0.034045
1917.708333,-0.0343208
1917.791667,-0.0345541
1917.875,-0.0319762
1917.958333,-0.028766
1918.041667,-0.0343586
1918.125,-0.0380278
1918.208333,-0.0370658
1918.291667,-0.0362657
1918.375,-0.0355327
1918.458333,-0.0351996
1918.541667,-0.0351461
1918.625,-0.0353931
1918.708333,-0.0350318
1918.791667,-0.0767593
1918.875,-0.264684
1918.958333,-0.361119
1919.041667,-0.39664
1919.125,-0.394695
1919.208333,-0.37324
1919.291667,-0.343013
1919.375,-0.308966
1919.458333,-0.289045
1919.541667,-0.260321
1919.625,-0.236685
1919.708333,-0.220198
1919.791667,-0.199236
1919.875,-0.176345
1919.958333,-0.154807
1920.041667,-0.135843
1920.125,-0.118119
1920.208333,-0.103317
1920.291667,-0.0916998
1920.375,-0.0819784
1920.458333,-0.0741354
1920.541667,-0.0677882
1920.625,-0.0627748
