Aerosol-radiation interactions,Aerosol-cloud interactions
-0.19272381131911132,-0.6387720708136329
-0.18963019239635134,-0.6275501647122108
-0.19829124587394925,-0.6489773678596404
-0.205709762129369,-0.6667717237829334
-0.24264293038812257,-0.7375171260874744
-0.2457601627039009,-0.7400924631697798
-0.2605096039076002,-0.7749720979705614
-0.26630741348899767,-0.7736694811928486
-0.27531549706772224,-0.7883941071642164
-0.28217725076472755,-0.7982938130599744
-0.28301816399906793,-0.8036307558607378
-0.2934653835701377,-0.8172508223803632
-0.29961941756581734,-0.8261869510971327
-0.31876160434323564,-0.8606525842194186
-0.3189029809008608,-0.8658548746480343
-0.33393117230290836,-0.9008064924533654
-0.3439244413012361,-0.909227673359776
-0.33787824404952055,-0.9020565962126217
-0.32899326346694263,-0.8876466665386826
-0.34711064489453447,-0.924088977403243
-0.3488710057895445,-0.9293254659632939
-0.3489664883851194,-0.9364016327457323
-0.3547090631557091,-0.947228623058308
-0.354559391918193,-0.9445382757119198
-0.3420786734697114,-0.9237735748345077
-0.3429231928268937,-0.9405586743009746
-0.3277934039665289,-0.9017748786344015
-0.33252892784345983,-0.9153963644403862
-0.3338058966252249,-0.9208574205861633
-0.33291635819072546,-0.921535273334279
-0.34247630111939253,-0.9427234538516143
-0.34190307285190813,-0.94700676540864
-0.34054937182001865,-0.940589172013983
-0.33982360204904577,-0.94676711735848
-0.3555449707453864,-0.9948349053005581
-0.3236221298422865,-0.9164873923662769
-0.3206363033228605,-0.919219776122951
-0.3264327103829406,-0.9469101922777623
-0.30705897537445825,-0.9096611541090649
-0.3000858795565568,-0.89283696985455
-0.33010980721242855,-0.970393257007383
-0.3176968135115626,-0.9558307637629282
-0.28421409185127455,-0.8699544774313135
-0.28008551864541753,-0.8504277677710692
-0.27924700004737596,-0.853146237470565
-0.2929557150228036,-0.8990756619737885
-0.30269407408819643,-0.9206638986030256
-0.3044620349326068,-0.9279178750488055
-0.3133356366242644,-0.9501486929465346
-0.32189961784369076,-0.9664834618559763
-0.30832566015306007,-0.9548626296438445
-0.29814676405295526,-0.9303593510376895
-0.28359188070868735,-0.9093905985113686
-0.2813959808886388,-0.9278870104140027
-0.2805437239839653,-0.916353805241193
-0.28465795247554776,-0.9346675224973398
-0.274193709922787,-0.9097516876031924
