CO2,CH4,N2O,CFC-11,CFC-12,CFC-113,CFC-114,CFC-115,HCFC-22,HCFC-141b,HCFC-142b,CCl4,CH3Cl,CH3CCl3,CH3Br,Halon-1202,Halon-1211,Halon-1301,Halon-2402,CF4,C2F6,C6F14,SF6,HFC-125,HFC-134a,HFC-143a,HFC-227ea,HFC-23,HFC-245fa,HFC-32,HFC-4310mee
0.05900663072801579,0.01987714871637334,0.007400405385510402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018041021458684982,0.0,0.0,-7.623296525288703e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06309490553927019,0.020794906770615677,0.007712265395522205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018905927109086088,0.0,0.0,-7.623296525288703e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06786124985086736,0.021710734987653642,0.008063342415804997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019770156646157223,0.0,0.0,-7.623296525288703e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07329877793728504,0.022690121603462468,0.008374004670036198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002063564168844956,0.0,0.0,-7.623296525288703e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07927282081242845,0.023725984632788154,0.008611014355306488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021524472691161837,0.0,0.0,-7.623296525288703e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08593294777636057,0.024705705715037593,0.008848455206105391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022465075244531606,0.0,0.0,-7.623296525288703e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09326060417250953,0.025617391909586458,0.009159367963461435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002346130620597458,0.0,0.0,-7.623296525288703e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1010994606714781,0.026526649072879917,0.009514917183022338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002450624465203092,0.0,0.0,-7.623296525288703e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10961742873614139,0.027511183357881948,0.009876251584884779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025598580808683114,0.0,0.0,-7.623296525288703e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11875563712655285,0.028627235087192705,0.010237834229460499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002673935624139389,0.0,0.0,-7.623296525288703e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
