CO2,CH4,N2O,CFC-11,CFC-12,CFC-113,CFC-114,CFC-115,HCFC-22,HCFC-141b,HCFC-142b,CCl4,CHCl3,CH2Cl2,CH3Cl,CH3CCl3,CH3Br,Halon-1211,Halon-1301,Halon-2402,CF4,C2F6,C3F8,c-C4F8,C4F10,C5F12,C6F14,C7F16,C8F18,NF3,SF6,SO2F2,HFC-125,HFC-134a,HFC-143a,HFC-152a,HFC-227ea,HFC-23,HFC-236fa,HFC-245fa,HFC-32,HFC-365mfc,HFC-4310mee
0.5704185378880564,0.22951776848060543,0.07236190723009463,0.00144368155848846,0.006470507679097057,0.0004189737957801201,0.00047306664842835004,0.0,0.00025448151218945,0.0,0.0,0.007469723104072801,1.3614690574800003e-05,4.316253834573997e-05,0.000186236882758,1.936200651854e-05,4.4063999179200034e-06,0.0,0.0,0.0,0.0005297535129176001,0.00012705946857725,4.8604328773e-06,4.53733030368e-06,2.0575692000000003e-08,1.8790360000000004e-08,1.7640984e-08,1.9043796368e-07,0.0,0.0,1.515058208131e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.03024848505e-05,0.0,0.0,0.0,0.0,0.0
0.5781857693962749,0.23550284290143594,0.07316427576712281,0.0018291517248724739,0.007529513458426848,0.00045213,0.0005500775,0.0,0.00028976675406315003,0.0,0.0,0.007783765402715201,1.5370630421789977e-05,4.8726470309219975e-05,0.00020371188275799997,3.678780335608e-05,4.6007981856000014e-06,0.0,0.0,0.0,0.0005502305395813998,0.00012954614890755,5.04205407034e-06,6.73926626592e-06,2.1497542e-08,1.964632e-08,1.8448968000000002e-08,4.4084581888e-07,0.0,0.0,2.079686062828e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.7848871984789996e-05,0.0,0.0,0.0,0.0,0.0
0.5864782260044508,0.24004873178268557,0.0740414250415622,0.0022160877312914014,0.008678113637756642,0.0004913145984929,0.00062708835157165,0.0,0.00034109075620165,0.0,0.0,0.0081177467235664,1.723325133012002e-05,5.462761442929997e-05,0.00022144314874000004,5.7117903227000004e-05,4.795198513920001e-06,0.0,0.0,0.0,0.0005692295296127002,0.00013163993697954998,5.200050868390001e-06,9.16058647584e-06,2.2419392000000003e-08,2.046152e-08,1.9212064e-08,7.422614890400001e-07,0.0,0.0,2.7427340386790003e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.669795871409e-05,0.0,0.0,0.0,0.0,0.0
0.595434752062443,0.24370156582687233,0.07492112387636646,0.002585435895950378,0.009918100488550467,0.0005365275912588201,0.00069938422013865,0.0,0.00040738424379835005,0.0,0.0,0.0084716677013576,1.9202518206899968e-05,6.08659432117e-05,0.0002394075,8.067500768026002e-05,4.989598846560001e-06,0.0,0.0,0.0,0.0005891499417840001,0.00013365933337199998,5.353322841440001e-06,1.170834298848e-05,2.3304368000000003e-08,2.127672e-08,1.997516e-08,1.0467089603200001e-06,0.0,0.0,3.509153447571e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.6910476356420004e-05,0.0,0.0,0.0,0.0,0.0
0.6087181676656019,0.2487344768932537,0.07582733994787669,0.003017807346950663,0.011355194746977312,0.00058776901446816,0.00076696521791681,0.0,0.00048116250000000005,0.0,0.0,0.0088438657457752,2.127857135011999e-05,6.744148417951998e-05,0.0002573950319640002,0.00011004070277522,5.205599667360004e-06,0.0,0.0,0.0,0.0006107454631247004,0.00013569570584595002,5.503220479470001e-06,1.4350413311999998e-05,2.4226218e-08,5.9179851600000004e-08,2.0783144e-08,1.35176872864e-06,0.0,0.0,4.384556505296e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.85552612049e-05,0.0,0.0,0.0,0.0,0.0
0.6220087037101314,0.25413878598825934,0.07676560857904076,0.0035864861043113125,0.013014483418441346,0.00064654589427302,0.00083768943805546,0.0,0.0005667025203157501,0.0,0.0,0.0092343421262816,2.3461375740459997e-05,7.435423730394001e-05,0.000275102974646,0.00014134260367878,5.421598431840001e-06,0.0,0.0,0.0,0.0006328280220231,0.0001376394040036,5.63961780753e-06,1.708483199328e-05,2.5111194e-08,1.431650164e-07,2.154624e-08,1.6568244720000002e-06,0.0,0.0,5.375215538352999e-05,1.3840054464000003e-07,0.0,0.0,0.0,0.0,0.0,7.170924554558e-05,0.0,0.0,0.0,0.0,0.0
0.635378240091304,0.2606317013196201,0.07776732095704879,0.004313456553469995,0.01490313216629261,0.00071436543737608,0.0009115570298613501,0.0,0.00067255829683315,0.0,0.0,0.0096397722986424,2.575103650945001e-05,8.160420258495998e-05,0.00029225202535400005,0.00018006661290800004,5.637599256960003e-06,0.0,0.0,0.0,0.0006556447116385001,0.00013953805641745,5.76521580558e-06,1.991104402176e-05,2.6033044e-08,2.636911136e-07,2.2309336000000003e-08,1.9678059627200003e-06,0.0,0.0,6.488062813977002e-05,5.536011248600001e-07,0.0,0.0,0.0,0.0,0.0,8.645745192414001e-05,0.0,0.0,0.0,0.0,0.0
0.6489331064862611,0.26738249043066353,0.0788009335268982,0.0052163070969506635,0.017107154954610338,0.0007927346343618801,0.00098856784402773,0.0,0.0008062145468331501,0.0,0.0,0.0100551722986424,2.8147588897119993e-05,8.919135255712e-05,0.00030860838629599995,0.00022685810677669998,5.8751985139200015e-06,0.0,0.0,0.0,0.0006797577858113999,0.00014146477901569998,5.88338934862e-06,2.2889465812799998e-05,2.6954894e-08,4.177639136e-07,2.3072432000000002e-08,2.3006580798400004e-06,0.0,0.0,7.730691050052001e-05,1.24560216214e-06,0.0,0.0,0.0,0.0,0.0,0.00010289301913685,0.0,0.0,0.0,0.0,0.0
0.6628069882224712,0.2736324459571705,0.07990452833813183,0.00630090052973197,0.019685681679097056,0.00088165348553184,0.00106872202986135,1.2312524625e-06,0.00096660199593685,0.0,0.0,0.0104805421262816,3.065103275633e-05,9.711574209369997e-05,0.0003239399680359999,0.0002759085061313,6.112799835840002e-06,0.0,0.0,0.0,0.0007062936392354002,0.00014352660699725,6.0002129416600004e-06,2.6050068564479997e-05,2.783987e-08,6.106292284000002e-07,2.3880416e-08,2.6554477383200003e-06,0.0,0.0,9.111352905198e-05,2.2144034457399998e-06,0.0,0.0,0.0,0.0,0.0,0.0001211171512042,0.0,0.0,0.0,0.0,0.0
0.6771356518687315,0.28061468726953176,0.08103749161223166,0.007555510696109344,0.022633338256197986,0.0009841363316491001,0.00115201943805546,4.92500123125e-06,0.0011579977418737,0.0,0.0,0.0109025880444176,3.326150853221003e-05,0.00010537731643669998,0.00033808294314800026,0.0003381896467915,6.328798596000002e-06,0.0,0.0,0.0,0.0007357915848439005,0.00014579268859135,6.1217613597e-06,2.9394067775040002e-05,2.876172e-08,8.394807320000001e-07,6.521642856e-08,3.01688512136e-06,1.1603696e-08,0.0,0.00010638961545341001,3.46000560788e-06,0.0,0.0,0.0,0.0,0.0,0.00014123920203263,0.0,0.0,0.0,0.0,0.0
0.6920261095631366,0.28755734533521626,0.08220322089068184,0.008962550870281307,0.025942954245389668,0.0011031972259221202,0.00123688853208319,9.85000073875e-06,0.001390025,0.0,0.0,0.011308849194569598,3.597901607761999e-05,0.0001139761029363,0.00035094458881599987,0.00043370884801776,6.566399917920003e-06,0.0,0.0,0.0,0.0007684584733300004,0.00014832569824830001,6.25208418275e-06,3.2982571739519996e-05,2.9646696000000003e-08,1.1072184984000002e-06,1.2661333720000002e-07,3.37872198168e-06,1.0632946413e-07,0.0,0.00012323090926998,4.98240801634e-06,0.0,0.0,0.0,0.0,0.0,0.0001633765678196,0.0,0.0,0.0,0.0,0.0
