Time,CMIP6
1885.625,-0.717546
1885.708333,-0.633069
1885.791667,-0.55724
1885.875,-0.488504
1885.958333,-0.430246
1886.041667,-0.373593
1886.125,-0.327079
1886.208333,-0.287059
1886.291667,-0.252351
1886.375,-0.223968
1886.458333,-0.209138
1886.541667,-0.233564
1886.625,-0.285025
1886.708333,-0.331338
1886.791667,-0.362513
1886.875,-0.375938
1886.958333,-0.370591
1887.041667,-0.316438
1887.125,-0.303585
1887.208333,-0.297459
1887.291667,-0.291616
1887.375,-0.284257
1887.458333,-0.273886
1887.541667,-0.255355
1887.625,-0.227934
1887.708333,-0.193515
1887.791667,-0.163558
1887.875,-0.139581
1887.958333,-0.115585
1888.041667,-0.091592
1888.125,-0.0780201
1888.208333,-0.0724098
1888.291667,-0.0682944
1888.375,-0.064677
1888.458333,-0.062081
1888.541667,-0.0588392
1888.625,-0.0554961
1888.708333,-0.0496079
1888.791667,-0.0446952
1888.875,-0.0320607
1888.958333,-0.012806
1889.041667,-0.00457773
1889.125,-0.00468884
1889.208333,-0.00415374
1889.291667,-0.00379666
1889.375,-0.00314135
1889.458333,-0.00338938
1889.541667,-0.00399277
1889.625,-0.00610737
1889.708333,-0.00639711
1889.791667,-0.00665341
1889.875,-0.00571767
1889.958333,-0.00444682
1890.041667,-0.00474421
1890.125,-0.00485524
1890.208333,-0.00431843
1890.291667,-0.00396035
1890.375,-0.00330443
1890.458333,-0.00355305
1890.541667,-0.0041591
1890.625,-0.279957
1890.708333,-0.515316
1890.791667,-0.567988
1890.875,-0.608133
1890.958333,-0.654101
1891.041667,-0.609967
1891.125,-0.56503
1891.208333,-0.508774
1891.291667,-0.470555
1891.375,-0.427675
1891.458333,-0.40303
1891.541667,-0.362832
1891.625,-0.34791
1891.708333,-0.332902
1891.791667,-0.314094
1891.875,-0.293453
1891.958333,-0.266043
1892.041667,-0.247128
1892.125,-0.232219
1892.208333,-0.205693
1892.291667,-0.19095
1892.375,-0.174211
1892.458333,-0.163035
1892.541667,-0.145891
1892.625,-0.144096
1892.708333,-0.134367
1892.791667,-0.130117
1892.875,-0.121909
1892.958333,-0.106157
1893.041667,-0.00526898
1893.125,-0.00537981
1893.208333,-0.00483754
1893.291667,-0.00447611
1893.375,-0.00381866
1893.458333,-0.00406897
1893.541667,-0.00468332
1893.625,-0.00682368
1893.708333,-0.00711478
1893.791667,-0.00737653
1893.875,-0.00643257
1893.958333,-0.00514822
1894.041667,-0.00545231
1894.125,-0.00556306
1894.208333,-0.00501884
1894.291667,-0.00465632
1894.375,-0.00399833
1894.458333,-0.00424924
1894.541667,-0.00486651
1894.625,-0.00701371
1894.708333,-0.00730522
1894.791667,-0.00756839
1894.875,-0.00662224
1894.958333,-0.00533422
1895.041667,-0.00563986
